disposition,disp_refname,sy_snum,sy_pnum,discoverymethod,disc_year,disc_facility,soltype,pl_controv_flag,pl_refname,pl_orbper,pl_orbpererr1,pl_orbpererr2,pl_orbperlim,pl_orbsmax,pl_orbsmaxerr1,pl_orbsmaxerr2,pl_orbsmaxlim,pl_rade,pl_radeerr1,pl_radeerr2,pl_radelim,pl_radj,pl_radjerr1,pl_radjerr2,pl_radjlim,pl_bmasse,pl_bmasseerr1,pl_bmasseerr2,pl_bmasselim,pl_bmassj,pl_bmassjerr1,pl_bmassjerr2,pl_bmassjlim,pl_bmassprov,pl_orbeccen,pl_orbeccenerr1,pl_orbeccenerr2,pl_orbeccenlim,pl_insol,pl_insolerr1,pl_insolerr2,pl_insollim,pl_eqt,pl_eqterr1,pl_eqterr2,pl_eqtlim,ttv_flag,st_refname,st_spectype,st_teff,st_tefferr1,st_tefferr2,st_tefflim,st_rad,st_raderr1,st_raderr2,st_radlim,st_mass,st_masserr1,st_masserr2,st_masslim,st_met,st_meterr1,st_meterr2,st_metlim,st_metratio,st_logg,st_loggerr1,st_loggerr2,st_logglim,sy_refname,rastr,ra,decstr,dec,sy_dist,sy_disterr1,sy_disterr2,sy_vmag,sy_vmagerr1,sy_vmagerr2,sy_kmag,sy_kmagerr1,sy_kmagerr2,sy_gaiamag,sy_gaiamagerr1,sy_gaiamagerr2,rowupdate,pl_pubdate,releasedate
FALSE POSITIVE,Crossfield et al. 2016,1.0,0.0,Transit,2016.0,K2,Published Candidate,0.0,<a refstr=VANDERBURG_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016ApJS..222...14V/abstract target=ref>Vanderburg et al. 2016</a>,2.5194078,,,0.0,,,,,7.99,,,0.0,0.71282006,,,0.0,,,,,,,,,,,,,,,,,,,,,,0.0,<a refstr=VANDERBURG_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016ApJS..222...14V/abstract target=ref>Vanderburg et al. 2016</a>,,7119.0,,,0.0,1.72,,,0.0,,,,,,,,,,,,,,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,11h24m56.63s,171.2359519,-02d05m06.57s,-2.0851597,476.884,,,12.293,0.08,-0.08,10.89,0.026,-0.026,12.1049,0.000424,-0.000424,2015-12-05,2016-01,2015-12-05
CONFIRMED,Adams et al. 2021,1.0,1.0,Transit,2021.0,K2,Published Confirmed,0.0,<a refstr=ADAMS_ET_AL__2021 href=https://ui.adsabs.harvard.edu/abs/2021PSJ.....2..152A/abstract target=ref>Adams et al. 2021</a>,0.72091,0.00014,-0.00014,0.0,,,,,1.5,0.2,-0.2,0.0,0.13382127,0.01784284,-0.01784284,0.0,,,,,,,,,,,,,,,,,,,,,,0.0,<a refstr=ADAMS_ET_AL__2021 href=https://ui.adsabs.harvard.edu/abs/2021PSJ.....2..152A/abstract target=ref>Adams et al. 2021</a>,,5633.0,111.0,-111.0,0.0,0.94,0.09,-0.09,0.0,,,,,-0.053,0.24,-0.24,0.0,[Fe/H],4.4,0.07,-0.07,0.0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,12h18m24.51s,184.6021322,-00d33m04.64s,-0.5512886,706.391,16.79,-16.79,14.321,0.172,-0.172,12.581,0.029,-0.029,14.147,0.000208,-0.000208,2021-10-25,2021-08,2021-10-25
CONFIRMED,Heller et al. 2019,1.0,1.0,Transit,2019.0,K2,Published Confirmed,0.0,<a refstr=HELLER_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019A&A...627A..66H/abstract target=ref>Heller et al. 2019</a>,2.13174,0.00022,-0.00022,0.0,,,,,0.692,0.059,-0.048,0.0,0.0617361,0.00526363,-0.00428227,0.0,,,,,,,,,,,,,,,,,,,,,,0.0,<a refstr=HELLER_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019A&A...627A..66H/abstract target=ref>Heller et al. 2019</a>,,,,,,,,,,0.78,0.085,-0.17,0.0,,,,,,,,,,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,11h15m44.80s,168.9366786,+00d29m17.02s,0.4880606,253.026,1.664,-1.664,13.948,0.183,-0.183,11.438,0.026,-0.026,13.7368,0.000323,-0.000323,2019-06-03,2019-07,2019-06-13
FALSE POSITIVE,Montet et al. 2015,1.0,0.0,Transit,2015.0,K2,Published Candidate,0.0,<a refstr=MONTET_ET_AL__2015 href=https://ui.adsabs.harvard.edu/abs/2015ApJ...809...25M/abstract target=ref>Montet et al. 2015</a>,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,<a refstr=MONTET_ET_AL__2015 href=https://ui.adsabs.harvard.edu/abs/2015ApJ...809...25M/abstract target=ref>Montet et al. 2015</a>,,4419.0,29.0,-33.0,0.0,0.52,0.08,-0.01,0.0,,,,,-0.98,0.62,-0.11,0.0,[Fe/H],,,,,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,11h44m18.20s,176.0758509,+01d22m33.47s,1.3759629,527.641,12.1375,-12.1375,15.484,0.092,-0.092,12.431,0.03,-0.03,15.0199,0.001299,-0.001299,2015-12-05,2015-08,2015-12-05
FALSE POSITIVE,Montet et al. 2015,1.0,0.0,Transit,2015.0,K2,Published Candidate,0.0,<a refstr=VANDERBURG_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016ApJS..222...14V/abstract target=ref>Vanderburg et al. 2016</a>,5.7968861,,,0.0,,,,,24.2,,,0.0,2.15897939,,,0.0,,,,,,,,,,,,,,,,,,,,,,0.0,<a refstr=VANDERBURG_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016ApJS..222...14V/abstract target=ref>Vanderburg et al. 2016</a>,,4721.0,,,0.0,0.72,,,0.0,,,,,,,,,,,,,,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,11h08m41.09s,167.1711994,+01d34m38.82s,1.5774487,233.55,1.958,-1.926,12.329,0.038,-0.038,9.883,0.023,-0.023,11.7062,0.001189,-0.001189,2015-12-05,2016-01,2015-12-05
FALSE POSITIVE,Montet et al. 2015,1.0,0.0,Transit,2015.0,K2,Published Candidate,0.0,<a refstr=MONTET_ET_AL__2015 href=https://ui.adsabs.harvard.edu/abs/2015ApJ...809...25M/abstract target=ref>Montet et al. 2015</a>,5.79687,0.0,0.0,0.0,,,,,27.81,3.56,-3.56,0.0,2.481,0.318,-0.318,0.0,,,,,,,,,,,,,,,,,,930.0,51.0,-51.0,0.0,0.0,<a refstr=MONTET_ET_AL__2015 href=https://ui.adsabs.harvard.edu/abs/2015ApJ...809...25M/abstract target=ref>Montet et al. 2015</a>,,5192.0,55.0,-70.0,0.0,0.79,0.06,-0.05,0.0,,,,,-0.09,0.17,-0.15,0.0,[Fe/H],,,,,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,11h08m41.09s,167.1711994,+01d34m38.82s,1.5774487,233.55,1.958,-1.926,12.329,0.038,-0.038,9.883,0.023,-0.023,11.7062,0.001189,-0.001189,2015-12-05,2015-08,2015-12-05
CONFIRMED,Adams et al. 2021,1.0,2.0,Transit,2021.0,K2,Published Confirmed,0.0,<a refstr=ADAMS_ET_AL__2021 href=https://ui.adsabs.harvard.edu/abs/2021PSJ.....2..152A/abstract target=ref>Adams et al. 2021</a>,0.877214,6e-05,-6e-05,0.0,,,,,1.3,0.1,-0.1,0.0,0.11597843,0.00892142,-0.00892142,0.0,,,,,,,,,,,,,,,,,,,,,,0.0,<a refstr=ADAMS_ET_AL__2021 href=https://ui.adsabs.harvard.edu/abs/2021PSJ.....2..152A/abstract target=ref>Adams et al. 2021</a>,,5820.0,20.0,-20.0,0.0,0.93,0.06,-0.06,0.0,,,,,-0.01,0.03,-0.03,0.0,[Fe/H],4.6,0.1,-0.1,0.0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,12h14m52.89s,183.7203635,+01d58m05.41s,1.9681688,232.1,2.706,-2.646,11.746,0.069,-0.069,10.218,0.021,-0.021,11.6477,0.000245,-0.000245,2021-10-25,2021-08,2021-10-25
CONFIRMED,Adams et al. 2021,1.0,2.0,Transit,2021.0,K2,Published Confirmed,0.0,<a refstr=LIVINGSTON_ET_AL__2024 href=https://ui.adsabs.harvard.edu/abs/2024NatSR..1427219L/abstract target=ref>Livingston et al. 2024</a>,0.87724,4e-05,-4e-05,0.0,0.0177,0.0003,-0.0003,0.0,1.565,0.079,-0.079,0.0,0.13962019,0.00704792,-0.00704792,0.0,7.67,0.75,-0.75,0.0,0.02413252,0.00235976,-0.00235976,0.0,Mass,0.0,,,0.0,2852.0,107.0,-107.0,0.0,2038.0,39.0,-39.0,0.0,0.0,<a refstr=LIVINGSTON_ET_AL__2024 href=https://ui.adsabs.harvard.edu/abs/2024NatSR..1427219L/abstract target=ref>Livingston et al. 2024</a>,,5679.0,60.0,-39.0,0.0,0.98,0.025,-0.025,0.0,0.958,0.048,-0.048,0.0,0.01,0.1,-0.1,0.0,[Fe/H],4.435,0.035,-0.035,0.0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,12h14m52.89s,183.7203635,+01d58m05.41s,1.9681688,232.1,2.706,-2.646,11.746,0.069,-0.069,10.218,0.021,-0.021,11.6477,0.000245,-0.000245,2025-01-29,2024-11,2025-01-29
CONFIRMED,Adams et al. 2021,1.0,2.0,Transit,2021.0,K2,Published Candidate,0.0,<a refstr=LIVINGSTON_ET_AL__2018 href=https://ui.adsabs.harvard.edu/abs/2018AJ....156...78L/abstract target=ref>Livingston et al. 2018</a>,0.87703,0.00011,-0.00013,0.0,,,,,1.2,0.11,-0.1,0.0,0.11,0.0098,-0.009,0.0,,,,,,,,,,,,,,,,,,1874.0,16.0,-16.0,0.0,0.0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,,5711.17,129.09,-85.29,0.0,0.990833,0.04382,-0.048447,0.0,1.018,0.135649,-0.116947,0.0,0.018,0.034,-0.034,0.0,[M/H],4.45381,0.074926,-0.069805,0.0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,12h14m52.89s,183.7203635,+01d58m05.41s,1.9681688,232.1,2.706,-2.646,11.746,0.069,-0.069,10.218,0.021,-0.021,11.6477,0.000245,-0.000245,2018-08-02,2018-08,2018-08-02
CONFIRMED,Adams et al. 2021,1.0,2.0,Transit,2021.0,K2,Published Candidate,0.0,<a refstr=MAYO_ET_AL__2018 href=https://ui.adsabs.harvard.edu/abs/2018AJ....155..136M/abstract target=ref>Mayo et al. 2018</a>,0.877183,5.7e-05,-5.7e-05,0.0,,,,,1.40575209,0.20796795,-0.125875,0.0,0.13,0.02,-0.01,0.0,,,,,,,,,,,,,,,,,,,,,,0.0,<a refstr=MAYO_ET_AL__2018 href=https://ui.adsabs.harvard.edu/abs/2018AJ....155..136M/abstract target=ref>Mayo et al. 2018</a>,,5705.0,50.0,-50.0,0.0,0.932487,0.06374,-0.037849,0.0,,,,,-0.01,0.08,-0.08,0.0,[Fe/H],4.48,0.1,-0.1,0.0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,12h14m52.89s,183.7203635,+01d58m05.41s,1.9681688,232.1,2.706,-2.646,11.746,0.069,-0.069,10.218,0.021,-0.021,11.6477,0.000245,-0.000245,2018-02-15,2018-03,2018-02-15
CONFIRMED,Heller et al. 2019,1.0,2.0,Transit,2019.0,K2,Published Confirmed,0.0,<a refstr=HELLER_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019A&A...627A..66H/abstract target=ref>Heller et al. 2019</a>,3.80464,0.00091,-0.00105,0.0,,,,,1.22,0.21,-0.17,0.0,0.10884111,0.01873495,-0.01516638,0.0,,,,,,,,,,,,,,,,,,,,,,0.0,<a refstr=HELLER_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019A&A...627A..66H/abstract target=ref>Heller et al. 2019</a>,,,,,,,,,,1.073,0.034,-0.034,0.0,,,,,,,,,,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,12h20m45.14s,185.1880932,+02d16m56.56s,2.2823788,476.882,9.692,-9.321,12.081,0.046,-0.046,10.637,0.022,-0.022,11.9456,0.000236,-0.000236,2019-06-03,2019-07,2019-06-13
